Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Malvales,Malvaceae,Waltheria ovata,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Troglodytes aedon,FALSE,FALSE
Aves,Apodiformes,Apodidae,Streptoprocne rutila,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Vallesia glabra,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Vachellia macracantha,FALSE,FALSE
Equisetopsida,Lamiales,Ehretiaceae,Tiquilia dichotoma,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tyrannus melancholicus,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Tessaria integrifolia,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis stictothorax,FALSE,FALSE
Aves,Columbiformes,Columbidae,Zenaida meloda,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Systellura longirostris,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Tachycineta stolzmanni,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa melanoleuca,FALSE,FALSE
Aves,Pelecaniformes,Threskiornithidae,Theristicus melanopis,FALSE,TRUE
Aves,Columbiformes,Columbidae,Zenaida auriculata,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tumbezia salvini,TRUE,FALSE
Aves,Cuculiformes,Cuculidae,Tapera naevia,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Vultur gryphus,FALSE,TRUE
Aves,Passeriformes,Passerellidae,Zonotrichia capensis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Todirostrum cinereum,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa solitaria,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Thaumastura cora,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tyrannus niveigularis,FALSE,FALSE
Equisetopsida,Lamiales,Ehretiaceae,Tiquilia paronychioides,FALSE,FALSE
Aves,Strigiformes,Tytonidae,Tyto alba,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnophilus bernardi,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Thraupis episcopus,FALSE,FALSE
Equisetopsida,Cucurbitales,Cucurbitaceae,Luffa operculata,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Setaria verticillata,FALSE,FALSE
Equisetopsida,Solanales,Convolvulaceae,Ipomoea asarifolia,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Cathartes aura,FALSE,FALSE
Aves,Columbiformes,Columbidae,Columba livia,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Coragyps atratus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Poospiza hispaniolensis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiarchus semirufus,TRUE,TRUE
Aves,Strigiformes,Strigidae,Athene cunicularia,FALSE,FALSE
Equisetopsida,Boraginales,Boraginaceae,Euploca ferreyrae,TRUE,FALSE
Equisetopsida,Brassicales,Capparaceae,Capparis angulata,FALSE,TRUE
Aves,Passeriformes,Hirundinidae,Progne chalybea,FALSE,FALSE
Aves,Columbiformes,Columbidae,Columbina cruziana,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Ictinia plumbea,FALSE,FALSE
Equisetopsida,Solanales,Convolvulaceae,Ipomoea purpurea,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Forpus coelestis,FALSE,FALSE
Equisetopsida,Caryophyllales,Amaranthaceae,Amaranthus spinosus,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Lycium boerhaviifolium,FALSE,FALSE
Aves,Passeriformes,Melanopareiidae,Melanopareia elegans,FALSE,FALSE
