Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Gruiformes,Rallidae,Anurolimnas castaneiceps,FALSE,FALSE
Aves,Columbiformes,Columbidae,Columbina talpacoti,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Cissopis leverianus,FALSE,FALSE
Mammalia,Chiroptera,Emballonuridae,Saccopteryx leptura,FALSE,FALSE
Aves,Galbuliformes,Bucconidae,Bucco macrodactylus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Saltator coerulescens,FALSE,FALSE
Aves,Falconiformes,Falconidae,Falco rufigularis,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Glyphorynchus spirurus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sporophila corvina,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Piprites chloris,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Artibeus cinereus,FALSE,FALSE
Mammalia,Carnivora,Procyonidae,Potos flavus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Lanio versicolor,FALSE,FALSE
Aves,Passeriformes,Grallariidae,Myrmothera campanisona,FALSE,FALSE
Mammalia,Cingulata,Chlamyphoridae,Priodontes maximus,FALSE,TRUE
Reptilia,Serpentes,Boidae,Eunectes murinus,FALSE,FALSE
Amphibia,Anura,Hylidae,Sphaenorhynchus dorisae,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Euphonia minuta,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Artibeus anderseni,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Coragyps atratus,FALSE,FALSE
Reptilia,Serpentes,Dipsadidae,Leptodeira annulata,FALSE,FALSE
Aves,Galliformes,Cracidae,Mitu tuberosum,FALSE,FALSE
Amphibia,Anura,Dendrobatidae,Ameerega hahneli,FALSE,FALSE
Aves,Piciformes,Picidae,Campephilus melanoleucos,FALSE,FALSE
Mammalia,Chiroptera,Emballonuridae,Rhynchonycteris naso,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Hydropsalis climacocerca,FALSE,FALSE
Amphibia,Anura,Hylidae,Osteocephalus leprieurii,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiozetetes luteiventris,FALSE,FALSE
Mammalia,Rodentia,Dasyproctidae,Dasyprocta variegata,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Chlorophanes spiza,FALSE,FALSE
Aves,Piciformes,Capitonidae,Eubucco tucinkae,FALSE,FALSE
Amphibia,Anura,Dendrobatidae,Ameerega macero,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Harpagus bidentatus,FALSE,FALSE
Mammalia,Chiroptera,Emballonuridae,Saccopteryx bilineata,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Sphaeronycteris toxophyllum,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Hsunycteris thomasi,FALSE,FALSE
Amphibia,Anura,Hylidae,Sphaenorhynchus carneus,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Pionus menstruus,FALSE,FALSE
Amphibia,Anura,Dendrobatidae,Ameerega picta,FALSE,FALSE
Mammalia,Carnivora,Felidae,Leopardus pardalis,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Buteo brachyurus,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Artibeus aequatorialis,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Bubulcus ibis,FALSE,FALSE
Mammalia,Cingulata,Dasypodidae,Dasypus pastasae,FALSE,FALSE
Reptilia,Serpentes,Viperidae,Bothrops taeniatus,FALSE,FALSE
Aves,Cuculiformes,Cuculidae,Dromococcyx pavoninus,FALSE,FALSE
Aves,Falconiformes,Falconidae,Micrastur gilvicollis,FALSE,FALSE
Aves,Galbuliformes,Galbulidae,Galbalcyrhynchus leucotis,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Phyllostomus elongatus,FALSE,FALSE
Mammalia,Chiroptera,Molossidae,Molossus rufus,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Oecomys superans,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Rupornis magnirostris,FALSE,FALSE
Mammalia,Didelphimorphia,Didelphidae,Marmosa (Marmosa) macrotarsus,TRUE,FALSE
Aves,Passeriformes,Grallariidae,Grallaria eludens,FALSE,FALSE
Aves,Passeriformes,Icteridae,Psarocolius decumanus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Paroaria gularis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Lophotriccus eulophotes,FALSE,FALSE
Aves,Apodiformes,Apodidae,Chaetura pelagica,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Aratinga weddellii,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Cyclarhis gujanensis,FALSE,FALSE
Reptilia,Serpentes,Viperidae,Bothrops brazili,FALSE,FALSE
Mammalia,Primates,Cebidae,Aotus nigriceps,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Ramphotrigon ruficauda,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Mionectes oleagineus,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Myrmelastes hyperythrus,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Arremon taciturnus,FALSE,FALSE
Mammalia,Cetartiodactyla,Tayassuidae,Dicotyles tajacu,FALSE,FALSE
Mammalia,Didelphimorphia,Didelphidae,Marmosops (Marmosops) noctivagus,FALSE,FALSE
Reptilia,Sauria,Dactyloidae,Anolis ortonii,FALSE,FALSE
Reptilia,Serpentes,Viperidae,Bothrops bilineatus,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Myrmotherula axillaris,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiozetetes similis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiornis ecaudatus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Ramphotrigon megacephalum,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Hypocnemoides maculicauda,FALSE,FALSE
Mammalia,Carnivora,Procyonidae,Nasua nasua,FALSE,FALSE
Reptilia,Sauria,Dactyloidae,Anolis fuscoauratus,FALSE,FALSE
Amphibia,Anura,Hylidae,Dendropsophus marmoratus,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Sarcoramphus papa,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Ramphotrigon fuscicauda,FALSE,FALSE
Amphibia,Anura,Dendrobatidae,Ameerega trivittata,FALSE,FALSE
Reptilia,Serpentes,Viperidae,Bothrops atrox,FALSE,FALSE
Mammalia,Chiroptera,Molossidae,Eumops perotis,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Chlorostilbon mellisugus,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Drymophila devillei,FALSE,FALSE
Aves,Ciconiiformes,Ciconiidae,Jabiru mycteria,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Hypocnemis subflava,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Lurocalis semitorquatus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Hemitriccus flammulatus,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Desmodus rotundus,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Chordeiles rupestris,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Brotogeris sanctithomae,FALSE,FALSE
Aves,Piciformes,Picidae,Colaptes punctigula,FALSE,FALSE
Amphibia,Anura,Hylidae,Osteocephalus taurinus,TRUE,FALSE
Reptilia,Sauria,Teiidae,Ameiva ameiva,FALSE,FALSE
Aves,Piciformes,Picidae,Celeus elegans,FALSE,FALSE
Mammalia,Chiroptera,Vespertilionidae,Myotis nigricans,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus infuscus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Ramphocelus nigrogularis,FALSE,FALSE
Mammalia,Didelphimorphia,Didelphidae,Gracilinanus peruanus,FALSE,FALSE
Aves,Gruiformes,Rallidae,Anurolimnas fasciatus,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Progne chalybea,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Euphonia rufiventris,FALSE,FALSE
Aves,Piciformes,Ramphastidae,Ramphastos tucanus,FALSE,FALSE
Aves,Strigiformes,Strigidae,Ciccaba virgata,FALSE,FALSE
Reptilia,Serpentes,Boidae,Boa constrictor,FALSE,FALSE
Mammalia,Rodentia,Dasyproctidae,Myoprocta pratti,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Dendroma rufa,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Hypocnemis hypoxantha,FALSE,FALSE
Mammalia,Chiroptera,Molossidae,Cynomops planirostris,FALSE,FALSE
Mammalia,Chiroptera,Vespertilionidae,Lasiurus blossevillii,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Egretta thula,FALSE,FALSE
Aves,Passeriformes,Tityridae,Pachyramphus polychopterus,FALSE,FALSE
Mammalia,Chiroptera,Vespertilionidae,Lasiurus ega,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiophobus fasciatus,FALSE,FALSE
Reptilia,Sauria,Tropiduridae,Stenocercus fimbriatus,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Ammodramus aurifrons,FALSE,FALSE
Aves,Galbuliformes,Bucconidae,Monasa morphoeus,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Oligoryzomys microtis,FALSE,FALSE
Aves,Passeriformes,Icteridae,Cacicus haemorrhous,FALSE,FALSE
