Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Trogoniformes,Trogonidae,Trogon melanurus,FALSE,FALSE
Equisetopsida,Magnoliales,Annonaceae,Xylopia cuspidata,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Trichilia pallida,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tolmomyias poliocephalus,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnophilus amazonicus,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnomanes caesius,FALSE,FALSE
Aves,Passeriformes,Tityridae,Tityra cayana,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Swartzia arborescens,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus hauxwelli,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Tunchiornis ochraceiceps,FALSE,FALSE
Aves,Trogoniformes,Trogonidae,Trogon viridis,FALSE,FALSE
Actinopterygii,Siluriformes,Auchenipteridae,Tatia intermedia,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Warszewiczia coccinea,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Trichilia solitudinis,FALSE,FALSE
Aves,Passeriformes,Onychorhynchidae,Terenotriccus erythrurus,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Wittmackanthus stanleyanus,FALSE,FALSE
Mammalia,Cetartiodactyla,Tayassuidae,Tayassu pecari,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Trichilia septentrionalis,FALSE,FALSE
Equisetopsida,Brassicales,Caricaceae,Vasconcellea microcarpa,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola flexuosa,FALSE,FALSE
Equisetopsida,Polypodiales,Tectariaceae,Triplophyllum funestum,FALSE,FALSE
Aves,Apodiformes,Apodidae,Tachornis squamata,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola calophylla,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Thraupis episcopus,FALSE,FALSE
Equisetopsida,Malpighiales,Salicaceae,Tetrathylacium macrophyllum,FALSE,FALSE
Aves,Trogoniformes,Trogonidae,Trogon curucui,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tyrannus tyrannus,FALSE,FALSE
Equisetopsida,Hymenophyllales,Hymenophyllaceae,Trichomanes pinnatum,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tolmomyias flaviventris,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara chilensis,FALSE,FALSE
Equisetopsida,Commelinales,Commelinaceae,Tradescantia zanonia,FALSE,FALSE
Equisetopsida,Ericales,Styracaceae,Styrax guyanensis,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Tachycineta albiventer,FALSE,FALSE
Equisetopsida,Pandanales,Cyclanthaceae,Thoracocarpus bissectus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis rutilans,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Theobroma obovatum,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xenops minutus,FALSE,FALSE
Equisetopsida,Myrtales,Combretaceae,Terminalia parvifolia,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Vireo olivaceus,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola duckei,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Zebrilus undulatus,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Tachigali setifera,FALSE,FALSE
Equisetopsida,Sapindales,Anacardiaceae,Tapirira guianensis,FALSE,FALSE
Equisetopsida,Myrtales,Vochysiaceae,Vochysia ferruginea,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus albicollis,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Triolena amazonica,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Theobroma subincana,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Tachigali pilosa,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Tinamus guttatus,FALSE,FALSE
Equisetopsida,Lamiales,Lamiaceae,Vitex triflora,FALSE,FALSE
Equisetopsida,Malpighiales,Dichapetalaceae,Tapura peruviana,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola surinamensis,FALSE,FALSE
Mammalia,Perissodactyla,Tapiridae,Tapirus terrestris,FALSE,FALSE
Equisetopsida,Caryophyllales,Polygonaceae,Symmeria paniculata,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Tigrisoma lineatum,FALSE,FALSE
Actinopterygii,Characiformes,Characidae,Tyttocharax cochui,FALSE,FALSE
Equisetopsida,Magnoliales,Annonaceae,Unonopsis veneficiorum,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Tinamus major,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola decorticans,FALSE,FALSE
Aves,Passeriformes,Pipridae,Tyranneutes stolzmanni,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Thalurania furcata,FALSE,FALSE
Actinopterygii,Characiformes,Characidae,Thayeria obliqua,FALSE,FALSE
Equisetopsida,Malpighiales,Clusiaceae,Symphonia globulifera,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Zimmerius gracilipes,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Todirostrum chrysocrotaphum,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphocolaptes promeropirhynchus,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Threnetes leucurus,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Willisornis poecilinotus,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Tabernaemontana sanano,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tyrannus melancholicus,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnophilus schistaceus,FALSE,FALSE
Aves,Charadriiformes,Laridae,Sternula superciliaris,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tyrannulus elatus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphorhynchus obsoletus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara schrankii,FALSE,FALSE
Equisetopsida,Polypodiales,Thelypteridaceae,Thelypteris decussata,FALSE,FALSE
Equisetopsida,Malpighiales,Dichapetalaceae,Tapura amazónica,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Warszewiczia schwackei,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Thraupis palmarum,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Urospatha sagittifolia,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnophilus murinus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphorhynchus elegans,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus lawrencii,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnomanes ardesiacus,FALSE,FALSE
Equisetopsida,Magnoliales,Annonaceae,Trigynaea triplinervis,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Swartzia klugii,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Theobroma speciosum,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tachyphonus surinamus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphorhynchus guttatus,FALSE,FALSE
Actinopterygii,Characiformes,Curimatidae,Steindachnerina planiventris,FALSE,FALSE
Aves,Gruiformes,Rallidae,Laterallus melanophaius,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Myrmotherula menetriesii,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Anthurium gracile,FALSE,FALSE
Equisetopsida,Myrtales,Combretaceae,Combretum paraguariense,FALSE,FALSE
Aves,Passeriformes,Pipridae,Pseudopipra pipra,FALSE,FALSE
Equisetopsida,Malpighiales,Violaceae,Leonia equatoriensis,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Palicourea bertieroides,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Osteophloeum platyspermum,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Rhynchocyclus olivaceus,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum sessile,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Busarellus nigricollis,FALSE,FALSE
Equisetopsida,Malpighiales,Calophyllaceae,Calophyllum longifolium,FALSE,FALSE
Actinopterygii,Gymnotiformes,Sternopygidae,Sternopygus macrurus,FALSE,FALSE
