Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Fabales,Fabaceae,Vigna luteola,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Thaumasius taczanowskii,TRUE,FALSE
Equisetopsida,Malvales,Malvaceae,Waltheria indica,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Thaumastura cora,FALSE,FALSE
Mammalia,Carnivora,Ursidae,Tremarctos ornatus,FALSE,TRUE
Equisetopsida,Rosales,Rosaceae,Tetraglochin cristata,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Trixis cacalioides,FALSE,FALSE
Equisetopsida,Santalales,Loranthaceae,Tripodanthus acutifolius,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Zinnia peruviana,FALSE,FALSE
Equisetopsida,Caryophyllales,Aizoaceae,Tetragonia crystallina,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Villanova oppositifolia,FALSE,FALSE
Equisetopsida,Lamiales,Verbenaceae,Verbena hispida,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Tarasa cerratei,TRUE,FALSE
Equisetopsida,Poales,Typhaceae,Typha angustifolia,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Tessaria integrifolia,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Tripogon spicatus,FALSE,FALSE
Equisetopsida,Lamiales,Verbenaceae,Verbena litoralis,FALSE,FALSE
Equisetopsida,Caryophyllales,Talinaceae,Talinum triangulare,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnophilus bernardi,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Tagetes multiflora,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Wedelia calycina,FALSE,FALSE
Equisetopsida,Lamiales,Ehretiaceae,Tiquilia paronychioides,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Xanthium spinosum,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Tragus berteronianus,FALSE,FALSE
Equisetopsida,Polypodiales,Woodsiaceae,Woodsia montevidensis,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus fuscater,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia usneoides,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Vulpia myuros,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Urtica urens,FALSE,FALSE
