Clase,Orden,Familia,Especie
Equisetopsida,Oxalidales,Elaeocarpaceae,"Vallea stipularis"
Aves,Charadriiformes,Charadriidae,"Vanellus resplendens"
Aves,Strigiformes,Tytonidae,"Tyto alba"
Aves,Charadriiformes,Thinocoridae,"Thinocorus orbignyianus"
Equisetopsida,Rosales,Urticaceae,"Urtica urens"
Aves,Passeriformes,Turdidae,"Turdus fuscater"
Equisetopsida,Asterales,Asteraceae,"Verbesina arborea"
Aves,Passeriformes,Turdidae,"Turdus chiguanco"
Equisetopsida,Lamiales,Plantaginaceae,"Veronica anagallis"
Equisetopsida,Dipsacales,Viburnaceae,"Viburnum hallii"
Equisetopsida,Rosales,Urticaceae,"Urtica magellanica"
Aves,Apodiformes,Apodidae,"Streptoprocne zonaris"
Aves,Passeriformes,Furnariidae,"Upucerthia validirostris"
Equisetopsida,Asterales,Asteraceae,"Werneria nubigena"
Equisetopsida,Fabales,Fabaceae,"Vicia graminea"
Equisetopsida,Brassicales,Tropaeolaceae,"Tropaeolum peregrinum"
Equisetopsida,Malpighiales,Violaceae,"Viola pygmaea"
Aves,Passeriformes,Furnariidae,"Synallaxis zimmeri"
Aves,Columbiformes,Columbidae,"Zenaida auriculata"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia producta"
Equisetopsida,Asparagales,Orchidaceae,"Telipogon bowmanii"
Equisetopsida,Asterales,Asteraceae,"Tagetes filifolia"
Aves,Caprimulgiformes,Caprimulgidae,"Systellura longirostris"
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
Aves,Passeriformes,Thraupidae,"Xenodacnis parina"
Equisetopsida,Asparagales,Orchidaceae,"Telipogon papilio"
Equisetopsida,Fabales,Fabaceae,"Trifolium amabile"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Equisetopsida,Buxales,Buxaceae,"Styloceras laurifolium"
Aves,Passeriformes,Thraupidae,"Thlypopsis ornata"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira erythromos"
Equisetopsida,Boraginales,Heliotropiaceae,"Tournefortia virgata"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia usneoides"
Aves,Passeriformes,Furnariidae,"Synallaxis courseni"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana coarctata"
Equisetopsida,Myrtales,Melastomataceae,"Tibouchina brevisepala"
Equisetopsida,Boraginales,Heliotropiaceae,"Tournefortia undulata"
Equisetopsida,Boraginales,Heliotropiaceae,"Tournefortia polystachya"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Equisetopsida,Asterales,Asteraceae,"Tagetes dianthiflora"
Equisetopsida,Asterales,Asteraceae,"Xenophyllum dactylophyllum"
Aves,Passeriformes,Thraupidae,"Thlypopsis ruficeps"
Equisetopsida,Lamiales,Bignoniaceae,"Tecoma stans"
Equisetopsida,Rosales,Urticaceae,"Phenax rugosus"
Aves,Apodiformes,Trochilidae,"Chalcostigma ruficeps"
Aves,Passeriformes,Tityridae,"Pachyramphus validus"
Aves,Passeriformes,Thraupidae,"Conirostrum cinereum"
Equisetopsida,Apiales,Apiaceae,"Daucus montanus"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum inamoenum"
Aves,Apodiformes,Trochilidae,"Chalcostigma stanleyi"
Equisetopsida,Asterales,Asteraceae,"Senecio canescens"
Aves,Passeriformes,Tyrannidae,"Serpophaga cinerea"
Aves,Passeriformes,Furnariidae,"Cinclodes aricomae"
Aves,Apodiformes,Trochilidae,"Lesbia nuna"
Equisetopsida,Rosales,Rosaceae,"Lachemilla procumbens"
Aves,Passeriformes,Thraupidae,"Conirostrum binghami"
Aves,Piciformes,Picidae,"Colaptes rivolii"
Aves,Passeriformes,Furnariidae,"Cinclodes albiventris"
Equisetopsida,Brassicales,Brassicaceae,"Lepidium bipinnatifidum"
Aves,Apodiformes,Trochilidae,"Metallura eupogon"
Aves,Passeriformes,Thraupidae,"Dubusia castaneoventris"
Aves,Passeriformes,Tyrannidae,"Ochthoeca frontalis"
Equisetopsida,Lamiales,Lamiaceae,"Salvia cyanicalyx"
Aves,Columbiformes,Columbidae,"Patagioenas fasciata"
Aves,Passeriformes,Tyrannidae,"Elaenia pallatangae"
Aves,Passeriformes,Tyrannidae,"Elaenia obscura"
Equisetopsida,Caryophyllales,Amaranthaceae,"Gomphrena elegans"
Aves,Passeriformes,Tyrannidae,"Anairetes parulus"
Equisetopsida,Cucurbitales,Coriariaceae,"Coriaria ruscifolia subsp. microphylla"
Aves,Columbiformes,Columbidae,"Metriopelia ceciliae"
Equisetopsida,Rosales,Rosaceae,"Margyricarpus pinnatus"
Equisetopsida,Gentianales,Rubiaceae,"Randia boliviana"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum philippii"
Equisetopsida,Cornales,Cornaceae,"Cornus peruviana"
Equisetopsida,Asterales,Asteraceae,"Perezia coerulescens"
Aves,Apodiformes,Trochilidae,"Patagona gigas"
Aves,Passeriformes,Hirundinidae,"Hirundo rustica"
Equisetopsida,Fabales,Polygalaceae,"Monnina vargasii"
Equisetopsida,Asterales,Campanulaceae,"Siphocampylus veteranus"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola griseus"
Equisetopsida,Rosales,Rosaceae,"Rubus roseus"
Aves,Passeriformes,Furnariidae,"Ochetorhynchus ruficaudus"
Aves,Apodiformes,Trochilidae,"Oreotrochilus estella"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia myrtilloides"
