Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Passeriformes,Vireonidae,Pachysylvia hypoxantha,FALSE,FALSE
Aves,Piciformes,Ramphastidae,Ramphastos tucanus,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Lacmellea edulis,FALSE,FALSE
Equisetopsida,Zingiberales,Heliconiaceae,Heliconia chartacea,FALSE,FALSE
Aves,Passeriformes,Icteridae,Psarocolius angustifrons,FALSE,FALSE
Equisetopsida,Ericales,Lecythidaceae,Gustavia longifolia,FALSE,FALSE
Aves,Eurypygiformes,Eurypygidae,Eurypyga helias,FALSE,FALSE
Equisetopsida,Malpighiales,Rhizophoraceae,Cassipourea peruviana,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Apeiba tibourbou,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Myrmelastes hyperythrus,FALSE,FALSE
Equisetopsida,Solanales,Convolvulaceae,Dicranostyles holostyla,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Megastictus margaritatus,FALSE,FALSE
Equisetopsida,Sapindales,Rutaceae,Ertela trifolia,FALSE,FALSE
Aves,Galliformes,Cracidae,Penelope jacquacu,FALSE,FALSE
Actinopterygii,Characiformes,Hemiodontidae,Hemiodus unimaculatus,FALSE,FALSE
Reptilia,Serpentes,Viperidae,Bothrocophias hyoprora,FALSE,FALSE
Equisetopsida,Lamiales,Bignoniaceae,Callichlamys latifolia,FALSE,FALSE
Actinopterygii,Characiformes,Characidae,Moenkhausia collettii,FALSE,FALSE
Aves,Gruiformes,Heliornithidae,Heliornis fulica,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Myrmotherula menetriesii,FALSE,FALSE
Equisetopsida,Sapindales,Simaroubaceae,Simarouba amara,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Crypturellus soui,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Heliodoxa aurescens,FALSE,FALSE
Equisetopsida,Zingiberales,Marantaceae,Goeppertia contrafenestra,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Miconia grandifoliata,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Dieffenbachia parvifolia,FALSE,FALSE
Reptilia,Sauria,Gymnophthalmidae,Leposoma parietale,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Cecropia sciadophylla,FALSE,FALSE
Equisetopsida,Zingiberales,Costaceae,Costus scaber,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Cnipodectes subbrunneus,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Montrichardia linifera,FALSE,FALSE
Aves,Galbuliformes,Bucconidae,Malacoptila fusca,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Attalea insignis,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Anthurium eminens,FALSE,FALSE
Aves,Piciformes,Picidae,Picumnus rufiventris,FALSE,FALSE
Actinopterygii,Characiformes,Characidae,Moenkhausia megalops,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Dacnis lineata,FALSE,FALSE
Aves,Nyctibiiformes,Nyctibiidae,Nyctibius grandis,FALSE,FALSE
Aves,Piciformes,Ramphastidae,Selenidera reinwardtii,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Sorocea steinbachii,FALSE,FALSE
Aves,Passeriformes,Corvidae,Cyanocorax violaceus,FALSE,FALSE
Reptilia,Sauria,Gymnophthalmidae,Arthrosaura reticulata,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Inga auristellae,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Philodendron fragrantissimum,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiarchus ferox,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Sorocea pubivena subsp. oligotricha,FALSE,FALSE
Equisetopsida,Lamiales,Bignoniaceae,Handroanthus chrysanthus,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Spizaetus tyrannus,FALSE,FALSE
Aves,Passeriformes,Icteridae,Psarocolius bifasciatus,FALSE,FALSE
Equisetopsida,Myrtales,Myrtaceae,Myrcia neospeciosa,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Cojoba arborea,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Dendroma erythroptera,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Bauhinia brachycalyx,FALSE,FALSE
Actinopterygii,Siluriformes,Loricariidae,Limatulichthys griseus,FALSE,FALSE
Aves,Passeriformes,Tityridae,Pachyramphus marginatus,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Palicourea tomentosa,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Cedrela odorata,FALSE,TRUE
Equisetopsida,Fabales,Fabaceae,Inga brachyrhachis,FALSE,FALSE
Aves,Piciformes,Capitonidae,Capito aurovirens,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Philodendron ernestii,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Sorocea muriculata,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Socratea exorrhiza,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Myrmotherula multostriata,FALSE,FALSE
Mammalia,Primates,Cebidae,Saguinus (Leontocebus) nigricollis,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Inga capitata,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Palicourea stenostachya,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Corythopis torquatus,FALSE,FALSE
Equisetopsida,Polypodiales,Aspleniaceae,Asplenium angustum,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Sorocea guilleminiana,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Ficus nymphaeifolia,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Calliandra trinervia,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Cedrelinga cateniformis,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Inga ciliata,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Schnella glabra,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Hypocnemis peruviana,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Dialium guianense,FALSE,FALSE
Aves,Coraciiformes,Momotidae,Momotus momota,FALSE,FALSE
Aves,Passeriformes,Cotingidae,Cotinga cayana,FALSE,FALSE
Actinopterygii,Characiformes,Characidae,Gymnocorymbus thayeri,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Enterolobium barnebianum,FALSE,FALSE
Equisetopsida,Brassicales,Capparaceae,Morisonia sola,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Busarellus nigricollis,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Philodendron campii,FALSE,FALSE
Equisetopsida,Magnoliales,Annonaceae,Oxandra euneura,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Amazona amazonica,FALSE,FALSE
Equisetopsida,Commelinales,Pontederiaceae,Pontederia crassipes,FALSE,FALSE
Actinopterygii,Siluriformes,Callichthyidae,Corydoras stenocephalus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Piprites chloris,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Aechmea strobilacea,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Bauhinia tarapotensis,FALSE,FALSE
Equisetopsida,Lamiales,Bignoniaceae,Handroanthus serratifolius,FALSE,TRUE
Equisetopsida,Magnoliales,Myristicaceae,Osteophloeum platyspermum,FALSE,FALSE
Equisetopsida,Santalales,Olacaceae,Heisteria scandens,FALSE,FALSE
Actinopterygii,Characiformes,Lebiasinidae,Pyrrhulina eleanorae,FALSE,FALSE
Actinopterygii,Siluriformes,Callichthyidae,Corydoras rabauti,FALSE,FALSE
Aves,Nyctibiiformes,Nyctibiidae,Nyctibius aethereus,FALSE,FALSE
Actinopterygii,Siluriformes,Callichthyidae,Corydoras pygmaeus,FALSE,FALSE
Aves,Piciformes,Capitonidae,Eubucco richardsoni,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Cecropia membranacea,FALSE,FALSE
Reptilia,Serpentes,Dipsadidae,Imantodes cenchoa,FALSE,FALSE
Aves,Passeriformes,Cotingidae,Cotinga maynana,FALSE,FALSE
Actinopterygii,Characiformes,Anostomidae,Leporinus agassizi,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Naucleopsis glabra,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Inga cordatoalata,FALSE,FALSE
Aves,Passeriformes,Pipridae,Pipra filicauda,FALSE,FALSE
Equisetopsida,Malpighiales,Salicaceae,Neosprucea grandiflora,FALSE,FALSE
Equisetopsida,Malpighiales,Violaceae,Rinorea viridifolia,FALSE,FALSE
Aves,Coraciiformes,Momotidae,Baryphthengus martii,FALSE,FALSE
Aves,Columbiformes,Columbidae,Geotrygon montana,FALSE,FALSE
Actinopterygii,Siluriformes,Callichthyidae,Corydoras elegans,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Attila spadiceus,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Faramea quinqueflora,FALSE,FALSE
Equisetopsida,Zingiberales,Marantaceae,Monotagma secundum,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Ceiba pentandra,FALSE,FALSE
Actinopterygii,Siluriformes,Callichthyidae,Corydoras arcuatus,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Schnella guianensis,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Geonoma stricta,FALSE,FALSE
Mammalia,Rodentia,Dasyproctidae,Myoprocta pratti,FALSE,FALSE
Aves,Passeriformes,Cotingidae,Phoenicircus nigricollis,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Macrolobium limbatum,FALSE,FALSE
Amphibia,Anura,Craugastoridae,Pristimantis malkini,FALSE,FALSE
Actinopterygii,Siluriformes,Callichthyidae,Corydoras ambiacus,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Parkia multijuga,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiarchus tuberculifer,FALSE,FALSE
Aves,Columbiformes,Columbidae,Patagioenas plumbea,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Amazona farinosa,FALSE,FALSE
