Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana variabilis,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Stevia macbridei,FALSE,FALSE
Equisetopsida,Asparagales,Amaryllidaceae,Trichlora peruviana,TRUE,FALSE
Equisetopsida,Caryophyllales,Cactaceae,Trichocereus macrogonus,FALSE,FALSE
Aves,Charadriiformes,Thinocoridae,Thinocorus orbignyianus,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana coarctata,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana cumbemayensis,TRUE,TRUE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana globularis,TRUE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana henrici,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Taraxacum officinale,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Taraxacum fernandezianum,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana interrupta,FALSE,FALSE
Equisetopsida,Polypodiales,Woodsiaceae,Woodsia montevidensis,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana micropterina,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana nigricans,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Urtica magellanica,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana nivalis,FALSE,TRUE
Equisetopsida,Rosales,Urticaceae,Urtica leptophylla,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana radicata,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana renifolia,TRUE,FALSE
Equisetopsida,Rosales,Urticaceae,Urtica flabellata,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana warburgii,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Xenophyllum ciliolatum,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Xenophyllum dactylophyllum,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Urtica echinata,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Tarasa urbaniana,FALSE,FALSE
Aves,Pelecaniformes,Threskiornithidae,Theristicus branickii,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Xenophyllum decorum,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Xenophyllum marcidum,FALSE,FALSE
Equisetopsida,Asparagales,Asparagaceae,Trihesperus glaucus,TRUE,FALSE
Aves,Passeriformes,Thraupidae,Thlypopsis ornata,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Urocarpidium peruvianum,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Werneria villosa,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Vanellus resplendens,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Tagetes minuta,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Thlypopsis superciliaris,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Werneria pygmaea,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana asplenifolia,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Werneria pumila,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Werneria pinnatifida,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Werneria pectinata,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Werneria orbignyana,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia capillaris,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Werneria nubigena,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Werneria caespitosa,FALSE,FALSE
Equisetopsida,Caryophyllales,Basellaceae,Ullucus tuberosus,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Werneria apiculata,FALSE,FALSE
Equisetopsida,Poales,Cyperaceae,Zameioscirpus muticus,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia paleacea,FALSE,FALSE
Equisetopsida,Poales,Cyperaceae,Uncinia macrolepis,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Trifolium amabile,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Zonotrichia capensis,FALSE,FALSE
Equisetopsida,Lamiales,Verbenaceae,Verbena hispida,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus chiguanco,FALSE,FALSE
Equisetopsida,Lamiales,Verbenaceae,Verbena litoralis,FALSE,FALSE
Equisetopsida,Oxalidales,Cunoniaceae,Weinmannia pinnata,FALSE,FALSE
Equisetopsida,Lamiales,Plantaginaceae,Veronica arvensis,FALSE,FALSE
Equisetopsida,Lamiales,Plantaginaceae,Veronica persica,FALSE,FALSE
Equisetopsida,Brassicales,Brassicaceae,Weberbauera trichocarpa,FALSE,FALSE
Equisetopsida,Brassicales,Brassicaceae,Weberbauera spathulifolia,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Upucerthia validirostris,FALSE,FALSE
Equisetopsida,Brassicales,Brassicaceae,Weberbauera peruviana,FALSE,FALSE
Aves,Columbiformes,Columbidae,Zenaida meloda,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Trisetum spicatum,FALSE,FALSE
Equisetopsida,Santalales,Loranthaceae,Tristerix chodatianus,TRUE,FALSE
Equisetopsida,Asterales,Asteraceae,Tagetes multiflora,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Vicia andicola,FALSE,FALSE
Equisetopsida,Alismatales,Potamogetonaceae,Stuckenia pectinata,FALSE,FALSE
Mammalia,Cetartiodactyla,Camelidae,Vicugna vicugna,FALSE,FALSE
Equisetopsida,Santalales,Loranthaceae,Tristerix longebracteatus,FALSE,FALSE
Equisetopsida,Saxifragales,Crassulaceae,Villadia dielsii,FALSE,FALSE
Equisetopsida,Saxifragales,Crassulaceae,Villadia reniformis,FALSE,FALSE
Equisetopsida,Brassicales,Tropaeolaceae,Tropaeolum minus,FALSE,FALSE
Equisetopsida,Asterales,Campanulaceae,Wahlenbergia peruviana,FALSE,FALSE
Equisetopsida,Malpighiales,Violaceae,Viola kermesina,TRUE,FALSE
Equisetopsida,Malpighiales,Violaceae,Viola membranacea,TRUE,FALSE
Equisetopsida,Malpighiales,Violaceae,Viola micranthella,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Vultur gryphus,FALSE,TRUE
Equisetopsida,Pertusariales,Icmadophilaceae,Thamnolia vermicularis,FALSE,FALSE
Equisetopsida,Poales,Cyperaceae,Trichophorum rigidum,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Vulpia myuros var. hirsuta,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Vulpia myuros,FALSE,FALSE
Aves,Columbiformes,Columbidae,Zenaida auriculata,FALSE,FALSE
Aves,Passeriformes,Cotingidae,Zaratornis stresemanni,TRUE,TRUE
Equisetopsida,Ranunculales,Ranunculaceae,Thalictrum peruvianum,FALSE,FALSE
Equisetopsida,Ranunculales,Ranunculaceae,Thalictrum decipiens,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia usneoides,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Troglodytes aedon,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tachuris rubrigastra,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Systellura longirostris,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Tinamotis pentlandii,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Xenodacnis parina,FALSE,FALSE
Equisetopsida,Rosales,Rosaceae,Tetraglochin cristata,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris bairdii,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Phyllotis andium,FALSE,FALSE
Equisetopsida,Ranunculales,Ranunculaceae,Clematis seemannii,FALSE,FALSE
Equisetopsida,Ranunculales,Ranunculaceae,Clematis peruviana,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Ageratina sternbergiana,FALSE,FALSE
Equisetopsida,Caryophyllales,Amaranthaceae,Dysphania ambrosioides,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Lathyrus magellanicus,FALSE,FALSE
Equisetopsida,Myrtales,Onagraceae,Epilobium fragile,FALSE,FALSE
Equisetopsida,Piperales,Piperaceae,Peperomia verruculosa,FALSE,FALSE
Aves,Columbiformes,Columbidae,Patagioenas maculosa,FALSE,FALSE
Equisetopsida,Rosales,Rosaceae,Lachemilla barbata,TRUE,FALSE
Equisetopsida,Asparagales,Iridaceae,Sisyrinchium chilense,FALSE,FALSE
Equisetopsida,Gentianales,Gentianaceae,Halenia caespitosa,FALSE,FALSE
Equisetopsida,Ericales,Polemoniaceae,Cantua buxifolia,FALSE,FALSE
Equisetopsida,Asparagales,Iridaceae,Olsynium junceum,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Poa serpaiana,FALSE,FALSE
