Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Piciformes,Ramphastidae,Pteroglossus castanotis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Lanio versicolor,FALSE,FALSE
Aves,Galbuliformes,Galbulidae,Galbalcyrhynchus leucotis,FALSE,FALSE
Aves,Passeriformes,Grallariidae,Grallaria eludens,FALSE,FALSE
Aves,Apodiformes,Apodidae,Chaetura egregia,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Nyctiphrynus ocellatus,FALSE,FALSE
Reptilia,Sauria,Gymnophthalmidae,Potamites ecpleopus,FALSE,FALSE
Reptilia,Serpentes,Colubridae,Drymobius rhombifer,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Parkerthraustes humeralis,FALSE,FALSE
Aves,Apodiformes,Apodidae,Chaetura cinereiventris,FALSE,FALSE
Mammalia,Primates,Cebidae,Cebuella pygmaea,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Nannopsittaca dachilleae,FALSE,FALSE
Aves,Apodiformes,Apodidae,Chaetura brachyura,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Hemithraupis flavicollis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Ixothraupis xanthogastra,FALSE,FALSE
Aves,Galbuliformes,Bucconidae,Bucco tamatia,FALSE,FALSE
Aves,Galbuliformes,Bucconidae,Malacoptila semicincta,FALSE,FALSE
Aves,Piciformes,Ramphastidae,Ramphastos vitellinus,FALSE,FALSE
Aves,Passeriformes,Cardinalidae,Habia rubica,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Pavonia corymbosa,FALSE,FALSE
Insecta,Lepidoptera,Erebidae,Andrenimorpha sephela,FALSE,FALSE
Insecta,Coleoptera,Scarabaeidae,Eurysternus ventricosus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Hemitriccus griseipectus,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Phaethornis bourcieri,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Hemitriccus minimus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Ramphotrigon ruficauda,FALSE,FALSE
Reptilia,Serpentes,Boidae,Corallus hortulanus,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Atticora tibialis,FALSE,FALSE
Aves,Passeriformes,Tityridae,Laniocera hypopyrra,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Neacomys musseri,FALSE,FALSE
Mammalia,Rodentia,Sciuridae,Hadrosciurus spadiceus,FALSE,FALSE
Insecta,Coleoptera,Scarabaeidae,Eurysternus vastiorum,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Coragyps atratus,FALSE,FALSE
Mammalia,Primates,Cebidae,Saguinus (Tamarinus) imperator,FALSE,FALSE
Aves,Passeriformes,Mitrospingidae,Lamprospiza melanoleuca,FALSE,FALSE
Aves,Passeriformes,Tityridae,Schiffornis turdina,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Cymbilaimus lineatus,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Phaethornis malaris,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Myrmotherula ignota,FALSE,FALSE
Mammalia,Primates,Cebidae,Saguinus (Tamarinus) mystax,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Sciaphylax hemimelaena,FALSE,FALSE
Reptilia,Crocodylia,Alligatoridae,Paleosuchus trigonatus,FALSE,FALSE
Mammalia,Primates,Cebidae,Saimiri boliviensis,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Phaethornis ruber,FALSE,FALSE
Mammalia,Primates,Cebidae,Saimiri sciureus,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Herpsilochmus frater,FALSE,FALSE
Insecta,Coleoptera,Scarabaeidae,Eurysternus strigilatus,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Euphonia rufiventris,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiopagis gaimardii,FALSE,FALSE
Insecta,Coleoptera,Scarabaeidae,Eurysternus hypocrita,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Oneillornis salvini,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Brotogeris cyanoptera,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Loriotus rufiventer,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Certhiasomus stictolaemus,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Florisuga mellivora,FALSE,FALSE
Aves,Columbiformes,Columbidae,Geotrygon montana,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Myrmotherula longicauda,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiopagis caniceps,FALSE,FALSE
Mammalia,Rodentia,Sciuridae,Hadrosciurus pyrrhinus,TRUE,FALSE
Reptilia,Sauria,Gymnophthalmidae,Cercosaura oshaughnessyi,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Epinecrophylla haematonota,FALSE,FALSE
Reptilia,Sauria,Gymnophthalmidae,Cercosaura ocellata,FALSE,FALSE
Mammalia,Carnivora,Felidae,Puma concolor,FALSE,FALSE
Reptilia,Serpentes,Aniliidae,Anilius scytale,FALSE,FALSE
Reptilia,Sauria,Dactyloidae,Anolis punctatus,FALSE,FALSE
Reptilia,Sauria,Gymnophthalmidae,Cercosaura argulus,FALSE,FALSE
Insecta,Lepidoptera,Erebidae,Autochloris completa,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Cercomacroides serva,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Myrmotherula longipennis,FALSE,FALSE
