Clase,Orden,Familia,Especie
Equisetopsida,Asterales,Asteraceae,"Acmella oleracea"
Equisetopsida,Fabales,Fabaceae,"Astragalus brackenridgei"
Aves,Passeriformes,Tyrannidae,"Anairetes reguloides"
Equisetopsida,Caryophyllales,Amaranthaceae,"Amaranthus celosioides"
Aves,Passeriformes,Fringillidae,"Spinus magellanicus"
Aves,Passeriformes,Thraupidae,"Poospiza hispaniolensis"
Equisetopsida,Solanales,Solanaceae,"Solanum pennellii"
Aves,Cuculiformes,Cuculidae,"Crotophaga sulcirostris"
Equisetopsida,Boraginales,Boraginaceae,"Cryptantha granulosa"
Equisetopsida,Malpighiales,Euphorbiaceae,"Euphorbia heterophylla"
Equisetopsida,Boraginales,Boraginaceae,"Cryptantha limensis"
Equisetopsida,Brassicales,Capparaceae,"Morisonia petiolaris"
Equisetopsida,Lamiales,Lamiaceae,"Hyptis sidifolia"
Equisetopsida,Asterales,Asteraceae,"Gamochaeta americana"
Equisetopsida,Asterales,Asteraceae,"Paranephelius ovatus"
Equisetopsida,Oxalidales,Oxalidaceae,"Oxalis lomana"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax bougainvillii"
Equisetopsida,Poales,Poaceae,"Cynodon dactylon"
Equisetopsida,Asterales,Asteraceae,"Gamochaeta purpurea"
Equisetopsida,Solanales,Solanaceae,"Solanum mochiquense"
Equisetopsida,Apiales,Apiaceae,"Bowlesia palmata"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Drymaria apetala"
Equisetopsida,Ericales,Polemoniaceae,"Gilia laciniata"
Equisetopsida,Solanales,Solanaceae,"Exodeconus prostratus"
Equisetopsida,Oxalidales,Oxalidaceae,"Oxalis megalorrhiza"
Aves,Caprimulgiformes,Caprimulgidae,"Chordeiles acutipennis"
Aves,Psittaciformes,Psittacidae,"Psilopsiagon aurifrons"
Equisetopsida,Lamiales,Lamiaceae,"Scutellaria ocymoides"
Equisetopsida,Solanales,Solanaceae,"Nolana gayana"
Equisetopsida,Solanales,Solanaceae,"Nolana humifusa"
Aves,Accipitriformes,Accipitridae,"Parabuteo unicinctus"
Equisetopsida,Poales,Poaceae,"Avena sterilis"
Equisetopsida,Poales,Poaceae,"Bromus striatus"
Equisetopsida,Caryophyllales,Cactaceae,"Haageocereus limensis"
Equisetopsida,Poales,Cyperaceae,"Cyperus hermaphroditus"
Equisetopsida,Dioscoreales,Dioscoreaceae,"Dioscorea chancayensis"
Aves,Passeriformes,Mimidae,"Mimus longicaudatus"
Aves,Passeriformes,Passeridae,"Passer domesticus"
Equisetopsida,Brassicales,Brassicaceae,"Sisymbrium officinale"
Aves,Passeriformes,Furnariidae,"Leptasthenura pileata"
Aves,Accipitriformes,Accipitridae,"Geranoaetus polyosoma"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Drymaria paposana var. weberbaueri"
Equisetopsida,Poales,Bromeliaceae,"Puya ferruginea"
Aves,Passeriformes,Furnariidae,"Leptasthenura striata"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Cerastium glomeratum"
Equisetopsida,Asterales,Asteraceae,"Senecio vulgaris"
Mammalia,Carnivora,Canidae,"Lycalopex (Pseudalopex) culpaeus"
Equisetopsida,Solanales,Convolvulaceae,"Cuscuta odorata"
Equisetopsida,Asterales,Asteraceae,"Cotula australis"
Equisetopsida,Lamiales,Lamiaceae,"Salvia rhombifolia"
Aves,Passeriformes,Tyrannidae,"Elaenia albiceps"
Equisetopsida,Cornales,Loasaceae,"Nasa urens"
Equisetopsida,Malvales,Malvaceae,"Melochia lupulina"
Equisetopsida,Geraniales,Geraniaceae,"Erodium cicutarium"
Aves,Passeriformes,Thraupidae,"Sporophila telasco"
Aves,Charadriiformes,Scolopacidae,"Calidris pusilla"
Equisetopsida,Poales,Poaceae,"Eragrostis cilianensis"
Aves,Passeriformes,Hirundinidae,"Progne murphyi"
Aves,Accipitriformes,Accipitridae,"Geranoaetus melanoleucus"
Equisetopsida,Solanales,Convolvulaceae,"Ipomoea dumetorum"
Equisetopsida,Malvales,Malvaceae,"Palaua rhombifolia"
Equisetopsida,Lamiales,Verbenaceae,"Phyla nodiflora"
Aves,Charadriiformes,Charadriidae,"Charadrius vociferus"
Aves,Passeriformes,Hirundinidae,"Hirundo rustica"
Equisetopsida,Caryophyllales,Cactaceae,"Mila caespitosa"
Aves,Passeriformes,Icteridae,"Molothrus bonariensis"
Equisetopsida,Poales,Poaceae,"Eragrostis mexicana"
Equisetopsida,Piperales,Piperaceae,"Peperomia galioides"
Equisetopsida,Poales,Poaceae,"Paspalum penicillatum"
Equisetopsida,Geraniales,Geraniaceae,"Geranium limae"
Equisetopsida,Polypodiales,Pteridaceae,"Adiantum digitatum"
Equisetopsida,Malvales,Malvaceae,"Sida rhombifolia"
Equisetopsida,Polypodiales,Pteridaceae,"Adiantum subvolubile"
Equisetopsida,Solanales,Convolvulaceae,"Ipomoea acanthocarpa"
Equisetopsida,Sapindales,Anacardiaceae,"Schinus molle"
Equisetopsida,Caryophyllales,Cactaceae,"Haageocereus kagenekii"
Equisetopsida,Asterales,Asteraceae,"Perezia coerulescens"
Equisetopsida,Solanales,Convolvulaceae,"Dichondra microcalyx"
Equisetopsida,Caryophyllales,Montiaceae,"Calandrinia alba"
Equisetopsida,Poales,Poaceae,"Eragrostis peruviana"
Equisetopsida,Solanales,Solanaceae,"Solanum medians"
Aves,Pelecaniformes,Ardeidae,"Nycticorax nycticorax"
Equisetopsida,Brassicales,Brassicaceae,"Lepidium chichicara"
Aves,Tinamiformes,Tinamidae,"Nothoprocta pentlandii"
Equisetopsida,Cucurbitales,Begoniaceae,"Begonia octopetala"
Aves,Apodiformes,Apodidae,"Aeronautes andecolus"
Equisetopsida,Solanales,Solanaceae,"Iochroma arborescens"
Aves,Passeriformes,Thraupidae,"Sicalis luteola"
Equisetopsida,Asparagales,Orchidaceae,"Aa weddelliana"
Equisetopsida,Cucurbitales,Begoniaceae,"Begonia geraniifolia"
Equisetopsida,Apiales,Apiaceae,"Spananthe paniculata"
Aves,Anseriformes,Anatidae,"Oressochen melanopterus"
Equisetopsida,Caryophyllales,Amaranthaceae,"Alternanthera halimifolia"
Aves,Psittaciformes,Psittacidae,"Psittacara wagleri"
Equisetopsida,Poales,Poaceae,"Arundo donax"
Equisetopsida,Asparagales,Orchidaceae,"Chloraea pavonii"
Equisetopsida,Caryophyllales,Amaranthaceae,"Dysphania ambrosioides"
Aves,Falconiformes,Falconidae,"Falco peregrinus"
Aves,Passeriformes,Parulidae,"Geothlypis aequinoctialis"
Equisetopsida,Caryophyllales,Amaranthaceae,"Alternanthera dominii"
Equisetopsida,Asterales,Asteraceae,"Ophryosporus peruvianus"
Equisetopsida,Asterales,Asteraceae,"Ophryosporus pubescens"
Equisetopsida,Poales,Poaceae,"Cenchrus echinatus"
Equisetopsida,Piperales,Piperaceae,"Peperomia inaequalifolia"
Aves,Charadriiformes,Charadriidae,"Oreopholus ruficollis"
Equisetopsida,Geraniales,Geraniaceae,"Erodium moschatum"
Equisetopsida,Boraginales,Heliotropiaceae,"Heliotropium adenogynum"
Equisetopsida,Malpighiales,Euphorbiaceae,"Euphorbia hypericifolia"
Aves,Passeriformes,Thraupidae,"Incaspiza pulchra"
Equisetopsida,Cucurbitales,Cucurbitaceae,"Cyclanthera mathewsii"
Equisetopsida,Boraginales,Heliotropiaceae,"Heliotropium angiospermum"
Equisetopsida,Asterales,Asteraceae,"Erigeron variifolius"
Equisetopsida,Liliales,Alstroemeriaceae,"Alstroemeria pelegrina"
Aves,Charadriiformes,Scolopacidae,"Calidris mauri"
Aves,Passeriformes,Thraupidae,"Sporophila peruviana"
Equisetopsida,Boraginales,Heliotropiaceae,"Heliotropium arborescens"
Equisetopsida,Oxalidales,Oxalidaceae,"Oxalis bulbigera"
Equisetopsida,Asterales,Asteraceae,"Baccharis spartea"
Aves,Apodiformes,Trochilidae,"Rhodopis vesper"
Equisetopsida,Liliales,Alstroemeriaceae,"Alstroemeria chorillensis"
Equisetopsida,Asterales,Asteraceae,"Acmella alba"
Equisetopsida,Boraginales,Heliotropiaceae,"Heliotropium curassavicum"
Equisetopsida,Poales,Poaceae,"Cenchrus ciliaris"
Equisetopsida,Brassicales,Brassicaceae,"Lepidium cyclocarpum"
Equisetopsida,Poales,Poaceae,"Paspalum flavum"
Equisetopsida,Boraginales,Heliotropiaceae,"Heliotropium lanceolatum"
Aves,Passeriformes,Icteridae,"Leistes bellicosus"
Equisetopsida,Boraginales,Heliotropiaceae,"Heliotropium rufipilum"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria dichotoma"
Equisetopsida,Solanales,Solanaceae,"Solanum americanum"
Equisetopsida,Lamiales,Acanthaceae,"Ruellia spectabilis"
Equisetopsida,Caryophyllales,Nyctaginaceae,"Mirabilis expansa"
Aves,Passeriformes,Hirundinidae,"Pygochelidon cyanoleuca"
Mammalia,Cetartiodactyla,Cervidae,"Odocoileus peruvianus"
Mammalia,Rodentia,Cricetidae,"Phyllotis amicus"
Aves,Passeriformes,Thraupidae,"Asemospiza obscura"
Equisetopsida,Poales,Poaceae,"Rostraria trachyantha"
Aves,Passeriformes,Furnariidae,"Geositta peruviana"
Aves,Passeriformes,Furnariidae,"Geositta maritima"
Equisetopsida,Lamiales,Acanthaceae,"Dicliptera tomentosa"
Aves,Falconiformes,Falconidae,"Falco sparverius"
Equisetopsida,Brassicales,Brassicaceae,"Brassica rapa"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria pinnata"
